Support,Amine 1 or Additive 1,"1°, 2°, 3° Amine Ratio",MW or Mn (g/mol),Organic Content on Adsorbent Basis (%),N Content on Adsorbent Basis (mmol/g),Amine 2 or Additive 2,Additive 3,Amine 2 or Additive 2  to Amine 1 Ratio,Additive 3 to Amine 1 Ratio,OH to N ratio,BET Surface Area of Solid Support (m2g-1),Pore Volume of Solid Support (cm3g-1),Average Pore Diameters (nm),Relative Humidity (%),CO2 Concentration (vol%),Flow Rate (mL/min),Adsorption Time (min),Adsorption Temperature (℃),CO2 Capacity (mmol/g),Amine Efficiency (mmol/mmol)
SBA-15,BPEI,1.81:1.52:1,600,25,5.83,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,25,0.72,0.12
SBA-15,BPEI,1.81:1.52:1,600,25,5.83,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,25,0.72,0.12
SBA-15,BPEI,1.81:1.52:1,600,50,11.67,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,-5,1.15,0.1
SBA-15,BPEI,1.81:1.52:1,600,50,11.67,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,5,0.9,0.08
SBA-15,BPEI,1.81:1.52:1,600,50,11.67,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,15,1.09,0.09
SBA-15,BPEI,1.81:1.52:1,600,50,11.67,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,25,1.22,0.1
SBA-15,BPEI,1.81:1.52:1,600,50,11.67,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,25,1.22,0.1
SBA-15,BPEI,1.81:1.52:1,600,50,11.67,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,35,1.43,0.12
SBA-15,BPEI,1.81:1.52:1,600,50,11.67,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,45,1.59,0.14
SBA-15,BPEI,1.81:1.52:1,600,50,11.67,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,55,1.35,0.12
SBA-15,BPEI,1.81:1.52:1,600,50,11.67,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,65,1.01,0.09
SBA-15,BPEI,1.81:1.52:1,600,50,11.67,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,75,0.32,0.03
SBA-15,BPEI,1.81:1.52:1,600,75,17.5,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,25,1.9,0.16
SBA-15,BPEI,1.81:1.52:1,600,75,17.5,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,25,1.9,0.11
SBA-15,BPEI,1.81:1.52:1,600,25,5.83,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,25,0.89,0.05
SBA-15,BPEI,1.81:1.52:1,600,25,5.83,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,25,0.89,0.15
SBA-15,TEPA,01:05.5,189,50,13.23,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,-5,2.28,0.39
SBA-15,TEPA,01:05.5,189,50,13.23,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,5,1.98,0.15
SBA-15,TEPA,01:05.5,189,50,13.23,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,15,1.96,0.15
SBA-15,TEPA,01:05.5,189,50,13.23,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,25,2.14,0.16
SBA-15,TEPA,01:05.5,189,50,13.23,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,25,2.14,0.08
SBA-15,TEPA,01:05.5,189,50,13.23,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,35,2.12,0.16
SBA-15,TEPA,01:05.5,189,50,13.23,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,45,2.07,0.16
SBA-15,TEPA,01:05.5,189,50,13.23,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,55,2.05,0.16
SBA-15,TEPA,01:05.5,189,50,13.23,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,65,1.13,0.09
SBA-15,TEPA,01:05.5,189,50,13.23,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,75,0.33,0.03
SBA-15,TEPA,01:05.5,189,50,13.23,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,25,2.3,0.17
SBA-15,TEPA,01:05.5,189,75,19.84,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,25,3.44,0.04
SBA-15,TEPA,01:05.5,189,75,19.84,0,0,0,0,0,643,1.14,7.12,0,0.04,100,350,25,3.44,0.17
SBA-15, DEA,0:01:00,105,50,4.91,0,0,0,0,2,935,1.45,6.2,0,0.04,100,300,25,0.54,0.11
SBA-15,TEPA ,01:05.5,189,50,6.47,DEA ,0,4,0,1.18,935,1.45,6.2,0,0.04,100,300,25,1.1,0.17
SBA-15,TEPA ,01:05.5,189,50,7.67,DEA ,0,2,0,0.84,935,1.45,6.2,0,0.04,100,300,25,1.38,0.18
SBA-15,TEPA ,01:05.5,189,50,8.84,DEA ,0,1,0,0.53,935,1.45,6.2,0,0.04,100,300,25,1.68,0.19
SBA-15,TEPA ,01:05.5,189,50,10.56,DEA ,0,0.5,0,0.31,935,1.45,6.2,0,0.04,100,300,25,1.9,0.18
SBA-15,TEPA ,01:05.5,189,50,10.56,DEA ,0,0.5,0,0.31,935,1.45,6.2,0,0.04,100,300,25,1.9,0.18
SBA-15,TEPA ,01:05.5,189,50,10.56,DEA ,0,0.5,0,0.31,935,1.45,6.2,0,0.04,100,300,25,1.9,0.18
SBA-15,TEPA ,01:05.5,189,50,10.56,DEA ,0,0.5,0,0.31,935,1.45,6.2,0,0.04,100,300,25,1.9,0.18
SBA-15,TEPA ,01:05.5,189,50,10.56,DEA ,0,0.5,0,0.31,935,1.45,6.2,0,0.04,100,300,25,1.9,0.18
SBA-15,TEPA ,01:05.5,189,50,11.35,DEA ,0,0.25,0,0.17,935,1.45,6.2,0,0.04,100,300,25,1.93,0.17
SBA-15,TEPA ,01:05.5,189,50,11.35,DEA ,0,0.25,0,0.17,935,1.45,6.2,0,0.04,100,300,25,1.93,0.17
SBA-15,TEPA ,01:05.5,189,50,11.35,DEA ,0,0.25,0,0.17,935,1.45,6.2,0,0.04,100,300,25,1.93,0.17
SBA-15,TEPA ,01:05.5,189,50,11.35,DEA ,0,0.25,0,0.17,935,1.45,6.2,0,0.04,100,300,25,1.93,0.17
SBA-15,TEPA ,01:05.5,189,50,11.35,DEA ,0,0.25,0,0.17,935,1.45,6.2,0,0.04,100,300,25,1.93,0.17
SBA-15,TEPA,01:05.5,189,50,13.64,0,0,0,0,0,935,1.45,6.2,0,0.04,100,300,25,1.91,0.14
SBA-15, DEA,0:01:00,105,50,4.89,0,0,0,0,2,992,1.13,4.56,0,0.04,100,120,25,0.59,0.12
SBA-15,BPEI,1.81:1.52:1,600,50,6.88,DEA,0,4,0,1.25,992,1.13,4.56,0,0.04,100,120,25,1.1,0.16
SBA-15,BPEI,1.81:1.52:1,600,50,7.16,DEA,0,2,0,0.91,992,1.13,4.56,0,0.04,100,120,25,1.22,0.17
SBA-15,BPEI,1.81:1.52:1,600,50,7.16,DEA,0,2,0,0.91,992,1.13,4.56,0,0.04,100,120,25,1.22,0.17
SBA-15,BPEI,1.81:1.52:1,600,50,7.16,DEA,0,2,0,0.91,992,1.13,4.56,0,0.04,100,120,25,1.22,0.17
SBA-15,BPEI,1.81:1.52:1,600,50,7.16,DEA,0,2,0,0.91,992,1.13,4.56,0,0.04,100,120,25,1.22,0.17
SBA-15,BPEI,1.81:1.52:1,600,50,7.16,DEA,0,2,0,0.91,992,1.13,4.56,0,0.04,100,120,25,1.22,0.17
SBA-15,BPEI,1.81:1.52:1,600,50,8.1,DEA,0,1,0,0.59,992,1.13,4.56,0,0.04,100,120,25,1.62,0.2
SBA-15,BPEI,1.81:1.52:1,600,50,8.1,DEA,0,1,0,0.59,992,1.13,4.56,0,0.04,100,120,25,1.62,0.2
SBA-15,BPEI,1.81:1.52:1,600,50,8.1,DEA,0,1,0,0.59,992,1.13,4.56,0,0.04,100,120,25,1.62,0.2
SBA-15,BPEI,1.81:1.52:1,600,50,8.1,DEA,0,1,0,0.59,992,1.13,4.56,0,0.04,100,120,25,1.62,0.2
SBA-15,BPEI,1.81:1.52:1,600,50,8.1,DEA,0,1,0,0.59,992,1.13,4.56,0,0.04,100,120,25,1.62,0.2
SBA-15,BPEI,1.81:1.52:1,600,50,8.1,DEA,0,1,0,0.59,992,1.13,4.56,0,0.04,100,120,25,1.62,0.2
SBA-15,BPEI,1.81:1.52:1,600,50,9.45,DEA,0,0.5,0,0.34,992,1.13,4.56,0,0.04,100,120,25,1.51,0.16
SBA-15,BPEI,1.81:1.52:1,600,50,9.45,DEA,0,0.5,0,0.34,992,1.13,4.56,0,0.04,100,120,25,1.51,0.16
SBA-15,BPEI,1.81:1.52:1,600,50,9.45,DEA,0,0.5,0,0.34,992,1.13,4.56,0,0.04,100,120,25,1.51,0.16
SBA-15,BPEI,1.81:1.52:1,600,50,9.45,DEA,0,0.5,0,0.34,992,1.13,4.56,0,0.04,100,120,25,1.51,0.16
SBA-15,BPEI,1.81:1.52:1,600,50,9.45,DEA,0,0.5,0,0.34,992,1.13,4.56,0,0.04,100,120,25,1.51,0.16
SBA-15,BPEI,1.81:1.52:1,600,50,9.93,DEA,0,0.25,0,0.19,992,1.13,4.56,0,0.04,100,120,25,1.29,0.13
SBA-15,BPEI,1.81:1.52:1,600,50,9.93,DEA,0,0.25,0,0.19,992,1.13,4.56,0,0.04,100,120,25,1.29,0.13
SBA-15,BPEI,1.81:1.52:1,600,50,9.93,DEA,0,0.25,0,0.19,992,1.13,4.56,0,0.04,100,120,25,1.29,0.13
SBA-15,BPEI,1.81:1.52:1,600,50,9.93,DEA,0,0.25,0,0.19,992,1.13,4.56,0,0.04,100,120,25,1.29,0.13
SBA-15,BPEI,1.81:1.52:1,600,50,9.93,DEA,0,0.25,0,0.19,992,1.13,4.56,0,0.04,100,120,25,1.29,0.13
SBA-15,BPEI,1.81:1.52:1,600,50,11.07,0,0,0,0,0,992,1.13,4.56,0,0.04,100,120,25,1.11,0.1
SBA-15,BPEI,1.81:1.52:1,600,50,11.07,0,0,0,0,0,992,1.13,4.56,0,0.04,100,120,25,1.11,0.1
SBA-15,BPEI,1.81:1.52:1,600,50,11.07,0,0,0,0,0,992,1.13,4.56,0,0.04,100,120,25,1.11,0.1
SBA-15,BPEI,1.81:1.52:1,600,50,11.07,0,0,0,0,0,992,1.13,4.56,0,0.04,100,120,25,1.11,0.1
SBA-15,BPEI,1.81:1.52:1,600,50,11.07,0,0,0,0,0,992,1.13,4.56,0,0.04,100,120,25,1.11,0.1
SBA-15,TEPA,01:05.5,189,50,9.53,0,0,0,0,0,992,1.08,4.35,0,0.04,100,180,25,1.62,0.17
SBA-15,TEPA,01:05.5,189,50,9.06,CTAB,0,4,0,0,992,1.08,4.35,0,0.04,100,180,25,1.54,0.17
SBA-15,TEPA,01:05.5,189,50,10.32,DEA,0,4,0,0.18,992,1.08,4.35,0,0.04,100,180,25,2.27,0.22
SBA-15,TEPA,01:05.5,189,50,8.89,P123,0,4,0,0,992,1.08,4.35,0,0.04,100,180,25,1.6,0.18
SBA-15,TEPA,01:05.5,189,50,9.33,PC,0,4,0,0,992,1.08,4.35,0,0.04,100,180,25,1.4,0.15
SBA-15,TEPA,01:05.5,189,50,9.32,PEG200,0,4,0,0.11,992,1.08,4.35,0,0.04,100,180,25,2.05,0.22
SBA-15,TEPA,01:05.5,189,50,9.06,SDS,0,4,0,0,992,1.08,4.35,0,0.04,100,180,25,1.63,0.18
SBA-15,TEPA,01:05.5,189,50,8.88,Span80,0,4,0,0.08,992,1.08,4.35,0,0.04,100,180,25,1.42,0.16
SBA-15,BPEI,1.81:1.52:1,305,10,2.35,0,0,0,0,0,493,1.35,8.81,0,100,60,90,20,0.66,0.28
SBA-15,BPEI,1.81:1.52:1,305,10,2.37,0,0,0,0,0,493,1.35,8.81,0,100,60,90,40,0.52,0.22
SBA-15,BPEI,1.81:1.52:1,305,10,2.35,0,0,0,0,0,493,1.35,8.81,0,100,60,90,60,0.28,0.12
